"export-plot data (NetLogo 6.3.0)"
"FEWCalc_Export_Test.nlogo"
"04/17/2024 15:33:17:874 -0500"

"MODEL SETTINGS"
"corn_area","wheat_area","soybeans_area","sg_area","#wind_turbines","aquifer_thickness","capacity_s","#panel_sets","future_process","simulation_period","climate_model","degrade_w","energy_value","nyear_s","nyear_w","ptc_w","capacity_w","itc_s","ptc_s","degrade_s","min_aq_thickness","cost_s","cost_w","sun_hrs","wind_factor","loan_term","interest"
"200","125","0","125","2","200","250","3","""Repeat Historical""","60","""RCP4.5""","1","29","25","30","0","2","0","0","1","125","1750","1470","6","42","1","2"

"""Crop Production"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","60","0","276","true","""Corn""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""Corn""","true","0","1","42.5","59"
"""Wheat""","true","0","1","24","59"
"""Soybeans""","true","0","1","53","59"
"""SG""","true","0","1","32","59"

"""Corn""",,,,"""Wheat""",,,,"""Soybeans""",,,,"""SG"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","42.5","true","0","0","24","true","0","0","53","true","0","0","32","true"
"1","213","42.5","true","1","77","24","true","1","0","53","true","1","119","32","true"
"2","251","42.5","true","2","70","24","true","2","0","53","true","2","130","32","true"
"3","206","42.5","true","3","65","24","true","3","0","53","true","3","85","32","true"
"4","144","42.5","true","4","68","24","true","4","0","53","true","4","68","32","true"
"5","168","42.5","true","5","67","24","true","5","0","53","true","5","95","32","true"
"6","205","42.5","true","6","71","24","true","6","0","53","true","6","127","32","true"
"7","207","42.5","true","7","79","24","true","7","0","53","true","7","121","32","true"
"8","233","42.5","true","8","75","24","true","8","0","53","true","8","129","32","true"
"9","233","42.5","true","9","69","24","true","9","0","53","true","9","113","32","true"
"10","223","42.5","true","10","74","24","true","10","0","53","true","10","134","32","true"
"11","213","42.5","true","11","77","24","true","11","0","53","true","11","119","32","true"
"12","251","42.5","true","12","70","24","true","12","0","53","true","12","130","32","true"
"13","206","42.5","true","13","65","24","true","13","0","53","true","13","85","32","true"
"14","144","42.5","true","14","68","24","true","14","0","53","true","14","68","32","true"
"15","168","42.5","true","15","67","24","true","15","0","53","true","15","95","32","true"
"16","205","42.5","true","16","71","24","true","16","0","53","true","16","127","32","true"
"17","207","42.5","true","17","79","24","true","17","0","53","true","17","121","32","true"
"18","233","42.5","true","18","75","24","true","18","0","53","true","18","129","32","true"
"19","233","42.5","true","19","69","24","true","19","0","53","true","19","113","32","true"
"20","223","42.5","true","20","74","24","true","20","0","53","true","20","134","32","true"
"21","213","42.5","true","21","77","24","true","21","0","53","true","21","119","32","true"
"22","251","42.5","true","22","70","24","true","22","0","53","true","22","130","32","true"
"23","206","42.5","true","23","65","24","true","23","0","53","true","23","85","32","true"
"24","144","42.5","true","24","68","24","true","24","0","53","true","24","68","32","true"
"25","168","42.5","true","25","67","24","true","25","0","53","true","25","95","32","true"
"26","32","42.5","true","26","4","24","true","26","0","53","true","26","57","32","true"
"27","123","42.5","true","27","8","24","true","27","0","53","true","27","90","32","true"
"28","132","42.5","true","28","53","24","true","28","0","53","true","28","109","32","true"
"29","140","42.5","true","29","40","24","true","29","0","53","true","29","88","32","true"
"30","127","42.5","true","30","11","24","true","30","0","53","true","30","64","32","true"
"31","41","42.5","true","31","63","24","true","31","0","53","true","31","50","32","true"
"32","125","42.5","true","32","31","24","true","32","0","53","true","32","64","32","true"
"33","45","42.5","true","33","10","24","true","33","0","53","true","33","19","32","true"
"34","14","42.5","true","34","25","24","true","34","0","53","true","34","11","32","true"
"35","23","42.5","true","35","8","24","true","35","0","53","true","35","19","32","true"
"36","32","42.5","true","36","4","24","true","36","0","53","true","36","57","32","true"
"37","123","42.5","true","37","8","24","true","37","0","53","true","37","90","32","true"
"38","132","42.5","true","38","53","24","true","38","0","53","true","38","109","32","true"
"39","140","42.5","true","39","40","24","true","39","0","53","true","39","88","32","true"
"40","127","42.5","true","40","11","24","true","40","0","53","true","40","64","32","true"
"41","41","42.5","true","41","63","24","true","41","0","53","true","41","50","32","true"
"42","125","42.5","true","42","31","24","true","42","0","53","true","42","64","32","true"
"43","45","42.5","true","43","10","24","true","43","0","53","true","43","19","32","true"
"44","14","42.5","true","44","25","24","true","44","0","53","true","44","11","32","true"
"45","23","42.5","true","45","8","24","true","45","0","53","true","45","19","32","true"
"46","32","42.5","true","46","4","24","true","46","0","53","true","46","57","32","true"
"47","123","42.5","true","47","8","24","true","47","0","53","true","47","90","32","true"
"48","132","42.5","true","48","53","24","true","48","0","53","true","48","109","32","true"
"49","140","42.5","true","49","40","24","true","49","0","53","true","49","88","32","true"
"50","127","42.5","true","50","11","24","true","50","0","53","true","50","64","32","true"
"51","41","42.5","true","51","63","24","true","51","0","53","true","51","50","32","true"
"52","125","42.5","true","52","31","24","true","52","0","53","true","52","64","32","true"
"53","45","42.5","true","53","10","24","true","53","0","53","true","53","19","32","true"
"54","144","42.5","true","54","68","24","true","54","0","53","true","54","68","32","true"
"55","168","42.5","true","55","67","24","true","55","0","53","true","55","95","32","true"
"56","205","42.5","true","56","71","24","true","56","0","53","true","56","127","32","true"
"57","207","42.5","true","57","79","24","true","57","0","53","true","57","121","32","true"
"58","233","42.5","true","58","75","24","true","58","0","53","true","58","129","32","true"
"59","233","42.5","true","59","69","24","true","59","0","53","true","59","113","32","true"
